method,chunk_method,chunk_size,generator,n,top_k,em,f1,containment,hit@1,hit@5,hit@10,runtime_sec
Closed-book,—,—,flan-t5-base,300,5,0.04,0.07890040758461811,0.04,,,,60.361084
"Closed-book (q100, prior)",—,—,flan-t5-base,100,5,0.02,0.05522222222222222,0.02,,,,9.890468
BM25 + Fixed (q100),fixed,120,flan-t5-base,100,5,0.05,0.07376212676212676,0.04,0.53,0.7,,24.568158
Dense + Raw (q100),raw,—,flan-t5-base,100,5,0.01,0.04479231587126324,0.05,0.7,0.97,,27.609871
Dense + Fixed (q100),fixed,120,flan-t5-base,100,5,0.02,0.04018257519591852,0.02,0.73,0.97,,25.297941
"Dense + Fixed (q300, top5)",fixed,120,flan-t5-base,300,5,0.02666666666666667,0.04630305332439791,0.04,0.69,0.9566666666666667,,76.202357
"Dense + Fixed (q300, top10)",fixed,120,flan-t5-base,300,10,0.0033333333333333335,0.021870513641858234,0.023333333333333334,0.69,0.9566666666666667,0.99,207.181213
"Dense + Fixed-22 (q300, NEW)",fixed,22,flan-t5-base,300,5,0.55,0.5854489214489216,0.53,0.42,0.75,,65.076068
Dense + Semantic (q100),semantic,≤250,flan-t5-base,100,5,0.61,0.6646666666666667,0.58,0.45,0.79,,14.401959
"Dense + Semantic (q300, top1)",semantic,≤250,flan-t5-base,300,1,0.4266666666666667,0.4674603174603176,0.4166666666666667,0.5066666666666667,,,27.288648
"Dense + Semantic (q300, top5)",semantic,≤250,flan-t5-base,300,5,0.6133333333333333,0.6512380952380952,0.5933333333333334,0.5066666666666667,0.8433333333333334,,38.911866
"Dense + Semantic (q300, top10)",semantic,≤250,flan-t5-base,300,10,0.47333333333333333,0.5029836411043784,0.4533333333333333,0.5066666666666667,0.8433333333333334,0.92,65.966349
Dense + Semantic + Qwen (q100),semantic,≤250,Qwen3.5-4B,100,5,0.55,0.6282001478054109,0.66,0.44,0.79,,167.986561
